text,N/S/J/G,V/L,favorite_count,retweet_count,followers_count,friends_count,listed_count,statuses_count,favourites_count
mom got moderna vaccin side effect second dose noth terribl exhaust swell pain inject site,G,L,1,0,535,458,0,674,7477
husband got pfizer vaccin real side effect first one bare sore arm second one tire noth much guess lucki,G,L,3,0,76,234,1,11910,30996
im vaccin high recommend get vaccin havent side effect,T,L,0,0,2,124,0,159,276
prefer vaccin got pfizer fool took seen peopl post get seem far milder side effect,T,V,0,0,448,933,9,3213,3495
got jampj vaccin today work bill gate person administ nice enough inject extra microchip side effect yet except im grow,J,L,0,0,3318,4985,4,749,675
hour jampj vaccin zero side effect even sore inject site,G,L,2,0,554,435,11,6397,956
dose moderna side effect pleas go get whichev vaccin offer know temporari side effect far prefer contract virus,T,L,35,1,1096,1922,5,4081,33898
yr yr old grandpar dose maderna vaccin neither side effect ppl post inaccur opinion evid like ppl refus vaccin thus,T,L,0,0,19,96,0,139,1705
vaccin zero side effect embed microchip may caus littl red,J,L,1,0,236,259,0,4090,12148
hudad took phizer vaccin dose littl sore arm side effect though hudad humom got pretti sick second shot,S,L,1,0,77,400,0,177,1174
man feel side effect vaccin shot canwant sleep bodi hurt head pound slight fever,S,V,0,0,336,334,3,20164,5158
vaccin side effect tweet arm tini bit sore yesterday last night feel pretti annoy heavi slight tendernessheavi today better last night slightest bit fatigu perhap noth ordinari otherwis,S,V,2,0,1423,680,10,18044,39590
husband got first shot pfizer side effect monday get second fear subsid get vaccin bless afraid,G,L,1,0,186,489,0,3175,10437
wife got moderna vaccin reaction either dose took prevent tylenol night second shot side effect slight sore arm,G,L,1,0,2600,1618,153,9883,6219
side effect start vaccin tweet remind got vaccin side effect noth compar perman lung damag,G,L,2,0,911,2082,8,30379,39689
moderna side effect far inject site pain hot cold flash malais weird mini hive outbreak hand side got vaccin yes dont get covid,S,L,5,0,911,2082,8,30379,39689
sos anyon els side effect first shot vaccin current run fever feel like absolut shit,S,V,2,0,569,387,0,6243,14218
yes vaccin damn side effect,S,V,1,1,166,158,0,2234,2007
final got second pfizer vaccin first dose liter side effect headach fever chill noth keep updat second dose,G,L,7,0,110,117,0,5204,2333
seem like one main side effect vaccin relief,G,L,1,0,795,2913,13,63787,68823
hour dose pfizer vaccin updat side effect except slight sore arm,G,L,1,0,88,178,2,586,2343
dad final got first dose vaccin pleas report side effect,J,L,10,0,981,672,11,1813,5390
receiv first covid vaccin today yes happi side effect anyth hope get,J,L,0,0,269,1101,20,4067,840
oof think side effect covid vaccin kick ive exhaust past hour half even nap,S,V,4,1,153,99,3,5743,17983
yeah side effect vaccin probablymi mom first got,T,V,1,0,1243,294,22,158987,135020
hello split headach feel weird got vaccin yesterday think side effect least know probabl work,G,V,1,0,466,698,6,1113,1422
doctor said would side effect took vaccin shot far third leg peni still okay third leg,J,L,0,0,93,495,3,7243,30797
bill gate microchip vaccin feel differ mayb bing side effect surfac pro,J,L,0,0,45,193,1,471,240
hour sinc receiv democrat hoax virus vaccin took risk countri still see side effect thank shall remain hope noth occur fear still remain high shall pray starbuck mermaid heath virgo moon,J,L,6,0,86,166,0,1560,2458
testifi girl scout cooki also reliev vaccin sideeffect,J,L,3,0,5734,109,134,2381,8352
well feel greatest today arm extrem sore rather feel like day get covid though side effect vaccin bad,G,L,2,0,133,344,0,5713,3627
got first vaccin sling left arm vaccin right arm hope side effect face littl flush far,N,L,39,0,845,1421,5,19277,47392
lee side effect j amp j vaccin experi light headed today reduc,G,L,0,0,33,75,0,14123,363
daili postvaccin checkin side effect resolv still headach pretti sure that side effect live state leader dont believ scienc say,J,L,0,0,46,375,0,1830,930
good get pandem got second vaccin yesterday go side effect teacher abl qualifi,J,V,1,0,287,641,3,9059,4388
felt effect vaccin side effect,G,L,1,0,182,614,0,7455,44762
mean fever reaction covid vaccin hope goe away quick lucki side effect sore arm wish speedi recoveri,G,L,4,0,708,856,9,2736,14977
receiv dose moderna vaccin three hour ago feel side effect far,G,L,0,0,139,416,1,2989,73809
moderna usa side effect bad wors vaccin ive receiv miss work fever chill ach nausea also know folk whove covid went thro,G,V,1,1,93,219,4,1354,2177
special side effect like everi vaccin,G,L,0,0,260,84,3,2774,3450
got second dose tuesday side effect except sore arm mayb mayb someday ill abl find shingl vaccin,G,L,1,0,212,187,0,10615,21200
got first second moderna shot time sore armno side effectsi mental made friend vaccinei love vaccin vaccin love memildmild mild,J,L,4,0,270,571,0,2419,26420
mom get first vaccin shot yesterday get protect virus feel sick side effect good,G,L,0,0,480,5001,5,4441,3141
forgot say yesterday chanc get vaccin everyon one unc hospit hillsborough campus great advers side effect worth long run protectyourself protectoth,G,V,2,0,96,269,0,448,474
covid vaccin side effect pretti shit immun system honest surpris everyon said second dose hit harder first total right,S,V,2,0,5015,1045,18,12229,69069
went realli well arm bit sore bad far side effect vaccin site set wonder organ abl get less min exampl mass vaccin site ran,G,L,0,0,776,485,3,2570,3175
receiv vaccin tuesday minor side effect feel fine recommend wish take care,T,L,0,0,11,83,0,43,94
good time speak experi side effect moderna vaccin minor shortliv,T,L,1,0,34,279,1,1437,416
vaccin blood week true negat side effect except second half tom wait music career make sens,J,L,7,0,1383,195,80,4838,67646
moderna dose book undergo chemo radiat feel side effect vaccin cancer immunotherapi,G,L,1,0,45,413,1,1402,151
yeah imagin famili work health servic gotten vaccin side effect grate turn get hear happen peopl,G,L,0,0,774,1590,14,16621,16778
vaccin side effect joke hit like freight train late last night feel sicker felt year block day calendar get folk,N,V,20,4,1151,851,58,28893,44957
noth nervous peg second moderna vaccin week ago zero side effect sore arm yes gone day still follow precaut mask everi day caus care,T,L,1,0,1075,2230,0,7705,4427
want wait jinx got first vaccin shot today hurt bad far side effect someth happen let guy know,N,L,2,0,266,554,7,7534,2936
first vaccin book real alarm side effect remind though call doctor last three hour four hour,N,L,1,0,583,612,4,14304,5043
vaccin side effect wors self care get whammi,S,V,1,0,126,326,4,1074,2514
yeah vaccin side effect joke last time felt shitti still better respir,G,V,0,0,108,505,6,22410,9326
sorri there tell hit bad take lot fluid vitamin c day aspirin feel well enough tri googl yellow card self report vaccin side effect,S,V,4,0,2531,2300,8,80982,236267
postjampj vaccin ach today reason im think back moment origin flinston movi famili replac garbag dispos anim made sad whimper cri drag still flashback side effect,J,L,0,0,1803,1311,135,3128,67513
mom pretti shit side effect vaccin bought antidot think im get free bank account wreck save longterm health hope temporari ailment worthit,S,V,0,0,226,338,8,6120,1313
honor privileg suffer side effect pepperidg farm vaccin rest countri,J,L,0,0,522,445,9,21290,744
like mani sure reserv get vaccin today receiv first dose pfizer vaccin feel complet fine final peac mind continu updat side effect symptom shotofhop,T,L,11,1,676,262,6,1112,1168
guess one vaccin side effect feel lost life get guitar play bm e,J,L,26,0,6931,1834,3,50090,236850
receiv jampj vaccin today side effect etc go got folk,T,L,6,0,201,1062,0,8697,24644
got second pfizer vaccin yesterday side effect jim thought suppos turn xmen special power,J,L,0,0,525,438,21,2863,9605
interest full transpar alreadi experienc follow side effect pfizer vaccin relief hope desir book flight,J,L,19,0,1045,559,56,2246,1318
glad abl get covid vaccin mannnnnn side effect kick ass,S,V,1,0,1255,747,6,87094,15431
definit feel side effect vaccin,S,V,2,0,416,252,21,60319,1418
latest video talk get second dose pfizer covid vaccin side effect dealt thing,J,V,4,1,416,252,21,60319,1418
great got dose vaccin yesterday side effect sore arm everyon els teach struggl side effect littl great u,G,V,0,0,1930,3012,67,54492,56792
let minor side effect deter get vaccin obvious talk primari doctor need follow doc lead wait jampj got shot yesterday felt crappi morn alreadi mend par cours vaccin,T,V,2,0,1541,2399,40,31428,19261
day jampj vaccin better side effect normal lot sleep soup grill chees back readi roll,J,L,2,0,1541,2399,40,31428,19261
tell side effect covid vaccin kick ass,S,V,0,0,430,392,2,11277,2647
vaccin get dose pfizer almost week ago littl side effect afterward,G,L,0,0,59,148,0,1878,5281
fever morn vaccin side effect,S,V,1,0,94,254,1,985,1738
got first vaccin quick havent gotten side effect yet,G,L,6,0,219,224,1,1567,3744
laid six day moderna shot femal covid vaccin side effect wors peopl depend sex,S,V,0,0,215,409,1,22171,6941
day get dose moderna covd vaccin side effect report odd arm littl sore morn that expect,G,L,3,0,2028,770,124,49679,16702
take first dose phizer vaccin confirm sad give spiderman power power matter side effect got sore arm fatigu experienc chill vaccin,J,L,0,0,350,901,9,6367,12438
yep realli side effect vaccin bodi make mount immun respons total expect benign,T,L,14,0,324,571,2,1117,10521
roundtwo vaccin today zero side effect hope today get tweetybird bandaid im sorri report yet lollipop,J,L,1,0,537,975,29,4097,2490
anyon heard possibl vaccin sideeffect even nine day second dose fever migrain feel like major noregretsbutoof,S,V,1,1,212,719,2,1923,2491
one die vaccin yes get sick bodi immun respons learn defeat virus got second moderna shot side effect day,T,L,0,0,206,287,8,45147,8211
jenica took jampj vaccin yesterday immedi start feel side effect last night take care one two babi,S,V,7,0,541,459,8,31607,14380
curious individu vaccin experi got pfizer side effect besid sore armwhich come shot day shot took easi day second shot went longish hike experi dad,T,L,7,0,98,99,0,3832,27834
side effect vaccin joke,S,V,1,0,478,598,3,17700,19005
lot thought discuss vaccin social media share chat knpr morn thought perhap belat share fulli vaccin grate opportun minim side effect,G,L,6,0,683,933,13,1845,7533
got jj vaccin side effect far,G,L,0,0,8,245,0,143,142
got vaccin shot moderna feel fine side effect wait minut wait time minut,G,L,1,0,112,45,0,3651,3035
appar bodi decid react w vaccin feel like plan get vaccin prepar side effect although person bodi react differ covidvaccin,S,V,0,0,106,115,0,136,1107
suffer home vaccin side effect liter lol hear kimber go home hippi get job,J,V,12,0,698,967,3,18717,127741
bruh im realli bad day covid vaccin side effect mother fucker bug essay due month pleas leav alon oh fuck right,S,V,5,0,306,293,6,11963,44551
got home receiv moderna covid vaccin shot walk park side effect pain lil prick upper arm old enough still scar arm receiv vaccin shot gun arm back,G,L,8,0,999,1071,1,77011,194532
got first vaccin shot today pfizer side effect far,G,L,0,0,57,190,0,1130,13609
develop side effect moderna vaccin got last week inject site bruis bad enough still week later swell red area develop inject site seem somewhat common noth worri,T,L,1,0,135,546,4,6918,6300
experienc major side effect vaccin detail wild dream sinc got lol,J,L,1,0,153,393,1,3304,3532
side effect jampj shot delay fatigu fine last night vaccin slept hour still exhaust seen other say otherwis smooth sail,G,V,19,0,3895,834,52,14597,26636
one week experi maximum amount protect moderna vaccin serious side effect advers reaction whatsoev soon avail encourag everyon get vaccin modernavaccin,T,L,2,0,172,240,4,3369,1207
got round pfizer vaccin last week woke next day hangov feel headach nausea gone sore arm coupl day felt side effect sinc happi most immun share experi,T,L,24,1,2131,713,20,49838,15689
hour post vaccin side effect wore mild achi sore arm near inject site yay scienc,G,L,0,0,56,360,0,2709,1257
hungov vaccin side effect,S,V,9,0,1297,584,28,47886,106941
alreadi moderna vaccin hard side effect either inject site red arm pain second vaccin,G,L,5,0,801,738,4,8760,16397
vari state obama age fulli vaccin alaska give vaccin anyon believ shock slowli state anyway got pfizer vaccin side effect state,G,L,10,0,50,40,1,1010,141
receiv pfizer vaccin experi side effect shingl vaccin trust mother fine side effect bodi generatin,T,L,0,0,50,40,1,1010,141
heard peopl experi side effect first moderna vaccin bodi,S,V,1,0,11,140,0,120,256
hour receiv covidvaccin side effect slight headach sens pride amp feel gratitud mani hard work peopl made vaccin happen amp great team organ deliveri,G,L,23,1,2621,3849,93,60505,36156
scare know ton peopl side effect vaccin mine feel great bare arm sore,T,L,2,0,643,500,3,14472,6154
way tri scare anyon take vaccin would never awar possibl realli bad side effect mean play part tri end covid get vaccin prepar,T,V,56,20,978,354,7,186562,1355
guy gon na advis take panadol get vaccin doh even wait side effect take,T,V,95,56,978,354,7,186562,1355
got second vaccin dose far side effect minut,N,L,3,0,770,1206,29,55824,48821
soon vaccin dose could side effect appear start get headach think soon vaccin probabl need drink water,N,L,4,0,770,1206,29,55824,48821
complet anecdot low dose edibl tote help vaccin side effect,T,L,3,0,223,723,2,20237,31154
wors four beer hangov second moderna vaccin side effect getvaccin,J,L,3,0,223,723,2,20237,31154
sore upper left arm experi side effect first shotif live dc preregist easili new portal let end pandem togeth vaccin moderna,T,L,1,0,463,755,5,3478,16608
expect vaccin side effect hit like sledg hammer far side effect slight sore neck,G,L,0,0,114,476,1,4186,836
arm sore headach side effect vaccin anyon curious,T,L,0,0,511,468,18,119802,2466
lucki get dose pfizer vaccin side effect feel safer happi receiv great feel,G,L,0,0,3285,4122,10,47385,118147
covid novemb got first pfizer vaccin week later side effect sore arm,G,L,0,1,895,519,5,1623,8659
side effect aka immun respons last hour low grade fever chill lethargi tight chest nausea lighthead arm sore basic littl wors flu vaccin husband littl side effect moderna vaccin everyon differ,S,V,11,0,2545,1811,100,27735,39355
side effect first vaccin worth protect dead diseas,G,V,0,0,99,254,0,10446,8674
fulli vaccin good far second vaccin side effect theyr complet normal vaccin immun system put work suppos,T,L,4,0,590,613,0,19690,27254
wonder side effect vaccin dose pfizer vaccin week ago zero side effect,T,L,40,1,1403,1494,19,21444,21825
jampj vaccin updat mild side effect headach fatigu low fever start kick hour get shot noth nap tylenol wouldnt solv feel fine today,T,L,2,0,878,158,37,19162,1975
vaccin side effect far feel tire lazi motiv like normal thursday,J,L,21,1,316,261,0,4911,11866
sure other experi head day receiv dose one pfizer vaccin asthma inner give side effect use albuterol inhal fine amp still well worth,G,V,0,0,1895,1509,88,50482,32308
talk vaccin side effect grate ibuprofen help fever ach well microwav meal,G,V,3,0,921,794,37,9845,15296
vaccin side effect kick ass,S,V,0,0,371,581,6,14865,38868
also got jampj vaccin side effect except chill werent quit bad also migrain fatigu slight nausea,S,V,0,0,371,581,6,14865,38868
vaccin tuesday side effect last day wednesday seem gone today hope dont last long either,T,V,0,0,371,581,6,14865,38868
abl get first dose pfizer vaccin yesterday hour later side effect except arm sore get flu shot,G,L,2,0,83,167,2,2463,94
anybodi experienc know someon covid receiv first vaccin yesterday lot strong side effect,S,V,0,0,807,858,0,7606,27888
needl warn got dose moderna vaccin yesterday shot quick painless side effect time far intens fever ach lethargi sickest year worth get virus,G,V,25,0,642,835,0,361,3828
got side effect hour vaccin feverchil muscl ach pain nausea neck particular achey fever last hour ach persist day half,S,V,0,0,801,601,4,14746,22399
side effect start hour get vaccin last day mam start hour last mayb day lot less sever mine well,S,V,1,0,801,601,4,14746,22399
boy school district close bc mani teacher side effect second vaccin moderna got round pfizer sore arm one day know second dose side effect til,N,L,1,0,142,233,2,2238,5371
side effect vaccin let know definit want covid,G,V,20,0,1853,411,17,18528,30453
happi first vaccin side effect thank god joe biden idiot still offic would still look vaccin say,G,L,7,0,4997,82,49,7153,504
your entitl vaccin sideeffect joke although worth end cours,G,V,1,0,2648,2683,5,1899,9981
got johnson johnson vaccin saturday side effect,G,L,15,0,4016,4969,52,16171,88770
got johnson johnson vaccin saturday shot pinprick side effect sore shot beat get,G,L,3,0,4016,4969,52,16171,88770
miss beauti daisi earlier apolog anger distract hope your feel better today franc vaccin side effect subsid,S,V,1,0,1400,2433,0,12929,93349
updat vaccin numero side effect slight sore arm feel like onearm pushup,J,L,0,0,1238,2523,45,5516,13485
thank side effect slight sore arm noth compar shingl vaccin murder,G,L,2,0,759,994,1,5019,2458
continu rewatch fellowship ring im laid vaccin side effect definit silli bit also pretti great boromir death get everi time,J,V,4,1,30,250,0,439,1017
live tweet side effect second covid vaccin inject nine hour inject site realli sore much wors first time took bunch ibuprofen head feel bit achi,S,V,3,1,30,250,0,439,1017
real note side effect johnson amp johnson vaccin slight sore neck cramp side went away today im bit sore spot inject shot doesnt hurt realli,G,L,0,0,526,78,14,1553,49140
interest transpar vaccin updat get flu vaccin often never side effect expect covid vaccin woke today sore arm pain level know,T,L,98,1,249056,1115,2866,51834,6601
glad abl get covid vaccin realli like side effect,S,V,4,0,145,76,0,382,786
day covid vaccin arm sore reduc notic side effect first dose moderna vaccin,G,L,1,0,1777,700,120,25965,43906
ask dad side effect second dose vaccin respond experienc vagu feel euphoria,J,L,2,0,26,312,0,18,55
holi crap felt sick feel absolut terribl side effect covid vaccin feel kinda delusion decid get vaccin make sure put asid coupl day recuper stay safe,S,V,10,0,190,109,1,561,1240
vaccin side effect got,S,V,0,0,443,2245,5,24582,8559
three hour first dose tricia realiz someth terribl wrong frighten frighten almost sick get phone,S,V,0,1,12805,209,237,80294,435
one owner place work got j amp j vaccin last friday said side effect,T,L,1,0,340,504,0,14293,47107
differ vaccin howev experienc side effect arm lil sore,G,L,0,0,828,1039,5,37008,13719
mani near miss movi trivia train session last night amp theyr still bug said color purpl color purpl said jim goldman jame mangold wrote eye peter gabriel leav im gon na blame vaccin side effect,J,L,2,0,364,1964,7,11418,38498
yay happi got first vaccin dose morn far pain side effect,G,L,1,0,364,1964,7,11418,38498
grate gotten second vaccin omg side effect killinggggg,S,V,1,0,251,209,1,2878,21752
got pfizer vaccin back went drive thru nfl stadium phoneix drive thru cluster fcuk side effect wait second shot end month,S,L,0,0,135,446,0,5644,8386
awak sinc chill bodi achespain super sore arm vaccin side effect,S,V,19,0,646,727,7,20351,8079
reaction sign vaccin work got johnson johnson vaccin side effect guess im one lucki one hang otc anti inflamm med help,T,L,2,0,56,397,0,1344,2431
hour sinc receiv johnson johnson vaccin side effect yet arm sore hour last night noth extraordinari monitor temperatur throughout night fever,G,L,8,0,56,397,0,1344,2431
day get johnson johnson vaccin side effect get vaccin,T,L,1,0,56,397,0,1344,2431
day johnson johnson vaccin side effect hoooorrraaaayyyi,J,L,4,0,56,397,0,1344,2431
took moderna vaccin far side effect sore arm,G,L,0,0,657,283,37,52687,15212
side effect second dose fun dont last long reason get vaccin,T,L,1,0,260,198,13,59612,9658
side effect vaccin joke,S,V,0,0,504,475,0,16423,10138
first dose astrazeneca vaccin februari suffer side effect whatsoev bit concern allergi absolut reason worri,T,L,2,0,2267,2420,24,37457,100272
good news lauren mine last month astrazeneca side effect whatsoev fine regardless vaccin type,T,L,2,0,2267,2420,24,37457,100272
side effect whatsoev despit allergi site vaccin sore day two touch advic self touch,G,L,6,0,2267,2420,24,37457,100272
efficaci mean effect vaccin whether protect form virus noth sideeffect help member famili taken littl sideeffect,T,L,2,0,158,158,1,1071,2201
dad amp grandma side effect second shot wait abl get vaccin,G,L,1,0,124,478,1,12426,5014
first workout post vaccin hard lot sweat usual usual wear two mask day bump one breath go lighter usual thing day post side effect virtual gone case help,T,V,10,0,302,783,3,8792,21541
hour side effect wear vaccin shot,J,V,22,0,1099,1126,13,31290,64906
second moderna covid vaccin shot yesterday today im tire joint ach nono side effect,S,L,2,0,735,3690,10,53058,37830
side effect sore needl went arm encourag get vaccin let part wipe pandem save live,T,L,3,0,2427,1,9,2952,640
updat second day jampj vaccin feel much today achi malais pretti much gone extent side effect noth worri back normal life,T,V,1,0,2214,3499,5,41858,27197
current woke feel pretti heavi side effect receiv jampj vaccin right pretti bad muscl fatigu well horribl chill liter get bed without bodi violent shake,S,V,22,0,3575,124,13,13438,25317
moderna vaccin yesterday afternoon far absolut side effect slight sore arm bare felt needl entir process took less minut thank pharmaci,G,L,0,0,563,1964,3,26728,125196
got vaccin side effect feel loopi like hallucinogen put acid vaccin covidvaccin,S,V,0,0,1095,4981,228,252879,444
still fever chill joint muscl pain one headach howev expect side effect vaccin still fine,G,V,5,0,1711,264,11,20179,11486
must side effect vaccin,S,V,1,0,1176,1072,4,50224,108742
great post im similar situat got vaccin due care role didnt even need painkil minor side effect littl discomfort noth,G,L,0,0,16,764,0,807,2680
side effect high dose flu vaccin younger peopl side effect vaccin us older folk side effect pass quick came hang tylenol help,T,L,0,0,4363,3860,11,128423,126503
vaccin yesterday johnson johnson zero side effect,G,L,0,0,4,69,0,314,717
got second shot vaccin yesterday side effect,G,L,1,0,129,78,1,258,33524
soon gave liter felt hot face turn red nurs sat min felt fine neuro told corona get vaccin like side effect,T,L,0,0,179,89,0,1235,3494
good morn good back day follow covid vaccin shot fortun side effect shot everyon react differ great thursday,G,L,53,1,4906,1828,203,28589,14128
took pfizer vaccin didnt side effect,G,L,1,0,58,278,0,1736,8359
